"filename", "language", "Dart", "comment", "blank", "total"
"d:\Coding\flutter_projects\sezil_app\lib\components\UI\FloatingActionButtonComp.dart", "Dart", 18, 0, 4, 22
"d:\Coding\flutter_projects\sezil_app\lib\components\UI\LabeledCheckbox.dart", "Dart", 44, 22, 10, 76
"d:\Coding\flutter_projects\sezil_app\lib\components\UI\ListWidgetComponent.dart", "Dart", 77, 0, 5, 82
"d:\Coding\flutter_projects\sezil_app\lib\components\forms\DropdownTextField.dart", "Dart", 78, 0, 8, 86
"d:\Coding\flutter_projects\sezil_app\lib\components\forms\GenericTextField.dart", "Dart", 103, 0, 11, 114
"d:\Coding\flutter_projects\sezil_app\lib\components\homePageScreen\HomePageScreenOption.dart", "Dart", 50, 0, 4, 54
"d:\Coding\flutter_projects\sezil_app\lib\config\palette.dart", "Dart", 29, 0, 2, 31
"d:\Coding\flutter_projects\sezil_app\lib\constants\Seasons.dart", "Dart", 5, 0, 1, 6
"d:\Coding\flutter_projects\sezil_app\lib\helpers\db_helper.dart", "Dart", 128, 0, 11, 139
"d:\Coding\flutter_projects\sezil_app\lib\helpers\id_generator_helper.dart", "Dart", 9, 0, 2, 11
"d:\Coding\flutter_projects\sezil_app\lib\main.dart", "Dart", 81, 1, 7, 89
"d:\Coding\flutter_projects\sezil_app\lib\models\CurrentSeasonVarietyModel.dart", "Dart", 22, 0, 2, 24
"d:\Coding\flutter_projects\sezil_app\lib\models\FertilizationModel.dart", "Dart", 20, 0, 2, 22
"d:\Coding\flutter_projects\sezil_app\lib\models\FieldOperationsModel.dart", "Dart", 22, 0, 2, 24
"d:\Coding\flutter_projects\sezil_app\lib\models\FieldProfileModel.dart", "Dart", 22, 0, 2, 24
"d:\Coding\flutter_projects\sezil_app\lib\models\FloweringModel.dart", "Dart", 24, 0, 2, 26
"d:\Coding\flutter_projects\sezil_app\lib\models\PostPlantingModel.dart", "Dart", 20, 0, 2, 22
"d:\Coding\flutter_projects\sezil_app\lib\models\PreHarvestModel.dart", "Dart", 21, 0, 2, 23
"d:\Coding\flutter_projects\sezil_app\lib\providers\CurrentSeasonVarietyProvider.dart", "Dart", 74, 0, 9, 83
"d:\Coding\flutter_projects\sezil_app\lib\providers\FertilizationProvider.dart", "Dart", 96, 0, 11, 107
"d:\Coding\flutter_projects\sezil_app\lib\providers\FieldOperationsProvider.dart", "Dart", 90, 0, 9, 99
"d:\Coding\flutter_projects\sezil_app\lib\providers\FieldProfileProvider.dart", "Dart", 65, 0, 9, 74
"d:\Coding\flutter_projects\sezil_app\lib\providers\FloweringProvider.dart", "Dart", 75, 0, 10, 85
"d:\Coding\flutter_projects\sezil_app\lib\providers\PostPlantingProvider.dart", "Dart", 67, 0, 12, 79
"d:\Coding\flutter_projects\sezil_app\lib\screens\CurrentSeasonVarietyScreen.dart", "Dart", 142, 0, 19, 161
"d:\Coding\flutter_projects\sezil_app\lib\screens\DetailedFertilizationScreen.dart", "Dart", 120, 0, 21, 141
"d:\Coding\flutter_projects\sezil_app\lib\screens\DummyCurrentVarietySeasonScreen.dart", "Dart", 84, 60, 10, 154
"d:\Coding\flutter_projects\sezil_app\lib\screens\EditCheckBoxesScreen.dart", "Dart", 26, 0, 5, 31
"d:\Coding\flutter_projects\sezil_app\lib\screens\EditValueScreen.dart", "Dart", 137, 0, 10, 147
"d:\Coding\flutter_projects\sezil_app\lib\screens\FertilizationScreen.dart", "Dart", 48, 0, 7, 55
"d:\Coding\flutter_projects\sezil_app\lib\screens\FieldHistoryScreen.dart", "Dart", 16, 0, 4, 20
"d:\Coding\flutter_projects\sezil_app\lib\screens\FieldOperationsScreen.dart", "Dart", 153, 0, 18, 171
"d:\Coding\flutter_projects\sezil_app\lib\screens\FieldProfileScreen.dart", "Dart", 145, 0, 24, 169
"d:\Coding\flutter_projects\sezil_app\lib\screens\FloweringScreen.dart", "Dart", 144, 0, 24, 168
"d:\Coding\flutter_projects\sezil_app\lib\screens\HarvestScreen.dart", "Dart", 123, 0, 5, 128
"d:\Coding\flutter_projects\sezil_app\lib\screens\HomePageScreen.dart", "Dart", 82, 0, 13, 95
"d:\Coding\flutter_projects\sezil_app\lib\screens\PlotScreen.dart", "Dart", 56, 0, 6, 62
"d:\Coding\flutter_projects\sezil_app\lib\screens\PostHarvestScreen.dart", "Dart", 130, 0, 5, 135
"d:\Coding\flutter_projects\sezil_app\lib\screens\PostPlantingScreen.dart", "Dart", 115, 0, 19, 134
"d:\Coding\flutter_projects\sezil_app\lib\screens\PreHarvestScreen.dart", "Dart", 248, 0, 5, 253
"d:\Coding\flutter_projects\sezil_app\lib\screens\QRViewScreen.dart", "Dart", 88, 58, 14, 160
"d:\Coding\flutter_projects\sezil_app\lib\screens\TraitsScreen.dart", "Dart", 43, 0, 5, 48
"Total", "-", 3140, 141, 353, 3634
